date,sh.600010,sh.600011,sh.600012,sh.600020,sh.600030
2020/9/18,1.18,5.8,5.42,3.61,30.9
2020/9/21,1.17,5.59,5.38,3.59,30.93
2020/9/22,1.17,5.52,5.3,3.56,30.62
2020/9/23,1.16,5.46,5.3,3.55,30.31
2020/9/24,1.15,5.35,5.25,3.49,29.95
2020/9/25,1.15,5.46,5.25,3.48,30.2
2020/9/28,1.15,5.39,5.24,3.48,30.22
2020/9/29,1.15,5.3,5.24,3.47,30.26
2020/9/30,1.15,5.41,5.18,3.45,30.03
2020/10/9,1.16,5.41,5.21,3.5,30.6
2020/10/12,1.18,5.5,5.29,3.54,31.72
2020/10/13,1.18,5.43,5.28,3.51,31.35
2020/10/14,1.16,5.24,5.22,3.48,30.95
2020/10/15,1.17,5.18,5.2,3.46,30.97
2020/10/16,1.17,5.28,5.16,3.47,31.08
2020/10/19,1.18,5.17,5.12,3.47,30.88
2020/10/20,1.18,5.23,5.13,3.49,30.65
2020/10/21,1.17,5.14,5.18,3.47,30.43
2020/10/22,1.16,5.02,5.23,3.47,30.44
2020/10/23,1.16,4.96,5.16,3.45,30.1
2020/10/26,1.17,5.25,5.16,3.44,29.02
2020/10/27,1.16,5.08,5.11,3.45,28.97
2020/10/28,1.16,5,5.12,3.45,29.26
2020/10/29,1.15,4.99,5.12,3.45,29.62
2020/10/30,1.14,4.88,5.31,3.4,28.63
2020/11/2,1.13,4.72,5.4,3.4,28.08
2020/11/3,1.15,4.99,5.43,3.44,28.73
2020/11/4,1.15,4.85,5.44,3.43,28.73
2020/11/5,1.16,4.94,5.58,3.45,29.19
2020/11/6,1.15,5.14,5.61,3.43,29.24
2020/11/9,1.17,5.16,5.64,3.47,30.27
2020/11/10,1.17,5.14,5.7,3.46,29.75
2020/11/11,1.18,5.22,5.66,3.49,29.26
2020/11/12,1.17,5.07,5.68,3.5,29.12
2020/11/13,1.18,5.01,5.77,3.48,28.71
2020/11/16,1.21,5.05,5.82,3.53,28.97
2020/11/17,1.19,5.09,5.94,3.53,29.13
2020/11/18,1.2,5.12,5.93,3.55,29.15
2020/11/19,1.19,5.06,5.91,3.52,29.33
2020/11/20,1.2,5.08,5.93,3.56,29.42
2020/11/23,1.23,5.13,6.14,3.57,29.9
2020/11/24,1.26,5.05,6.08,3.56,29.53
2020/11/25,1.22,5.06,6.01,3.53,29.22
2020/11/26,1.21,5.25,5.93,3.51,29.3
2020/11/27,1.21,5.16,6.12,3.54,29.98
2020/11/30,1.21,5.14,6.1,3.56,30.3
2020/12/1,1.21,5.1,6.12,3.58,31.3
2020/12/2,1.22,5.05,6.28,3.61,31.08
2020/12/3,1.2,5,6.42,3.56,30.9
2020/12/4,1.19,4.95,6.4,3.55,30.3
2020/12/7,1.19,4.85,6.33,3.52,30.01
