"Stkcd","Stknme","Conme","Listdt"
"000661","长春高新","长春高新技术产业(集团)股份有限公司","1996-12-18"
"000662","天夏退","天夏智慧城市科技股份有限公司","1996-12-16"
"000663","永安林业","福建省永安林业(集团)股份有限公司","1996-12-06"
"000665","湖北广电","湖北省广播电视信息网络股份有限公司","1996-12-10"
"000666","经纬纺机","经纬纺织机械股份有限公司","1996-12-10"
"000667","美好置业","美好置业集团股份有限公司","1996-12-05"
"000668","荣丰控股","荣丰控股集团股份有限公司","1996-12-10"
"000669","ST 金鸿","金鸿控股集团股份有限公司","1996-12-10"
"000670","*ST 盈方","盈方微电子股份有限公司","1996-12-17"
"000671","阳光城","阳光城集团股份有限公司","1996-12-18"
"000672","上峰水泥","甘肃上峰水泥股份有限公司","1996-12-18"
"000673","当代退","当代东方投资股份有限公司","1997-01-24"
"000675","ST 银山","四川银山化工(集团)股份有限公司","1996-12-26"
"000676","智度股份","智度科技股份有限公司","1996-12-24"
"000677","恒天海龙","恒天海龙股份有限公司","1996-12-26"
"000678","襄阳轴承","襄阳汽车轴承股份有限公司","1997-01-06"
"000679","大连友谊","大连友谊(集团)股份有限公司","1997-01-24"
"000680","山推股份","山推工程机械股份有限公司","1997-01-22"
"000681","视觉中国","视觉(中国)文化发展股份有限公司","1997-01-21"
"000682","东方电子","东方电子股份有限公司","1997-01-21"
"000683","远兴能源","内蒙古远兴能源股份有限公司","1997-01-31"
"000685","中山公用","中山公用事业集团股份有限公司","1997-01-23"
"000686","东北证券","东北证券股份有限公司","1997-02-27"
"000687","华讯退","华讯方舟股份有限公司","1997-02-21"
"000688","国城矿业","国城矿业股份有限公司","1997-01-20"
"000689","ST 宏业","汕头宏业(集团)股份有限公司","1996-12-31"
"000690","宝新能源","广东宝丽华新能源股份有限公司","1997-01-28"
"000691","亚太实业","甘肃亚太实业发展股份有限公司","1997-02-28"
"000692","惠天热电","沈阳惠天热电股份有限公司","1997-02-27"
"000693","华泽退","成都华泽钴镍材料股份有限公司","1997-02-26"
"000695","滨海能源","天津滨海能源发展股份有限公司","1997-02-18"
"000697","炼石航空","炼石航空科技股份有限公司","1997-03-25"
"000698","沈阳化工","沈阳化工股份有限公司","1997-02-20"
"000699","S*ST 佳纸","佳木斯金地造纸股份有限公司","1997-03-10"
"000700","模塑科技","江南模塑科技股份有限公司","1997-02-28"
"000701","厦门信达","厦门信达股份有限公司","1997-02-26"
"000702","正虹科技","湖南正虹科技发展股份有限公司","1997-03-18"
"000703","恒逸石化","恒逸石化股份有限公司","1997-03-28"
"000705","浙江震元","浙江震元股份有限公司","1997-04-10"
"000707","双环科技","湖北双环科技股份有限公司","1997-04-15"
"000708","中信特钢","中信泰富特钢集团股份有限公司","1997-03-26"
"000709","河钢股份","河钢股份有限公司","1997-04-16"
"000710","贝瑞基因","成都市贝瑞和康基因技术股份有限公司","1997-04-22"
"000711","京蓝科技","京蓝科技股份有限公司","1997-04-11"
"000712","锦龙股份","广东锦龙发展股份有限公司","1997-04-15"
"000713","丰乐种业","合肥丰乐种业股份有限公司","1997-04-22"
"000715","中兴商业","中兴-沈阳商业大厦(集团)股份有限公司","1997-05-08"
"000716","黑芝麻","南方黑芝麻集团股份有限公司","1997-04-18"
"000717","韶钢松山","广东韶钢松山股份有限公司","1997-05-08"
"000718","苏宁环球","苏宁环球股份有限公司","1997-04-08"
"000719","中原传媒","中原大地传媒股份有限公司","1997-03-31"
"000720","新能泰山","山东新能泰山发电股份有限公司","1997-05-09"
"000721","西安饮食","西安饮食股份有限公司","1997-04-30"
"000722","湖南发展","湖南发展集团股份有限公司","1997-05-22"
"000723","美锦能源","山西美锦能源股份有限公司","1997-05-15"
"000725","京东方A","京东方科技集团股份有限公司","2001-01-12"
"000726","鲁泰A","鲁泰纺织股份有限公司","2000-12-25"
"000727","冠捷科技","冠捷电子科技股份有限公司","1997-05-20"
