Stkcd,Trddt,Opnprc,Clsprc
3002,2022/6/1,11.84,11.74
3003,2022/6/1,9.03,9.06
3004,2022/6/1,19.61,19.99
3005,2022/6/1,23.57,24.01
3006,2022/6/1,10.75,10.89
3007,2022/6/1,19.48,19.6
3008,2022/6/1,23.22,23.51
3009,2022/6/1,45.07,47.36
3010,2022/6/1,16.85,16.87
3011,2022/6/1,19.31,19.55
3012,2022/6/1,8.29,8.5
3013,2022/6/1,17.08,16.85
3015,2022/6/1,8.92,8.81
3016,2022/6/1,8.78,8.85
3017,2022/6/1,31.67,31.93
3018,2022/6/1,8.98,9.06
3019,2022/6/1,25.9,26.9
3020,2022/6/1,29.62,29.9
3021,2022/6/1,36.65,37.05
3022,2022/6/1,27.19,26.88
3023,2022/6/1,16.92,17.03
3025,2022/6/1,27.57,27.99
3026,2022/6/1,46.03,45.33
3027,2022/6/1,17.12,17.45
3028,2022/6/1,30.03,30.32
3029,2022/6/1,18.62,19.57
3030,2022/6/1,20.18,20.43
3031,2022/6/1,78.8,78.95
3032,2022/6/1,14.38,14.34
3033,2022/6/1,23.86,24.57
3035,2022/6/1,6.28,6.22
3036,2022/6/1,10.27,10.3
3037,2022/6/1,12.42,12.44
3038,2022/6/1,56.97,53.48
3039,2022/6/1,21.22,21.1
3040,2022/6/1,19.07,18.86
3041,2022/6/1,18.05,18.12
3042,2022/6/1,23.57,23.41
3043,2022/6/1,59.25,62.15
3816,2022/6/1,2.8,2.81
200011,2022/6/1,6.89,6.95
200012,2022/6/1,2.95,2.94
200016,2022/6/1,2.01,1.99
200017,2022/6/1,1.24,1.25
200019,2022/6/1,3.82,3.81
200020,2022/6/1,2.73,2.73
200025,2022/6/1,4.14,4.32
200026,2022/6/1,7.19,7.13
200028,2022/6/1,16.26,16.31
200029,2022/6/1,2.87,3
200030,2022/6/1,3.12,3.15
200037,2022/6/1,2.6,2.6
200045,2022/6/1,3.36,3.33
200054,2022/6/1,4.77,4.83
200055,2022/6/1,2.05,2.08
200056,2022/6/1,1.33,1.32
200058,2022/6/1,1.85,1.81
200413,2022/6/1,0.75,0.75
200429,2022/6/1,6.03,6.03
200468,2022/6/1,2.97,2.91
200488,2022/6/1,2.75,2.77
200505,2022/6/1,3.01,3.03
200512,2022/6/1,3.43,3.43
200521,2022/6/1,2.12,2.16
200530,2022/6/1,1.5,1.5
200539,2022/6/1,2.02,2.02
200541,2022/6/1,2.42,2.41
200550,2022/6/1,6.45,6.5
200553,2022/6/1,4.25,4.25
200570,2022/6/1,2.11,2.14
200581,2022/6/1,16.36,16.37
200596,2022/6/1,115.27,113.18
200625,2022/6/1,4.21,4.24
200706,2022/6/1,2.73,2.72
200725,2022/6/1,3.68,3.68
200726,2022/6/1,3.74,3.76
200761,2022/6/1,2.6,2.59
200771,2022/6/1,10.97,11.08
200869,2022/6/1,11.8,11.77
200992,2022/6/1,2.78,2.75
201872,2022/6/1,7.89,7.89
300001,2022/6/1,16.18,16.47
300002,2022/6/1,3.98,3.95
300003,2022/6/1,17.68,17.59
300004,2022/6/1,5.72,5.74
300005,2022/6/1,8.99,8.93
300006,2022/6/1,4.02,4.01
300007,2022/6/1,15.75,15.98
300008,2022/6/1,4.07,4.12
300009,2022/6/1,8.88,8.9
300010,2022/6/1,3.34,3.24
300011,2022/6/1,6.13,6.11
300012,2022/6/1,22.28,21.51
300013,2022/6/1,5.34,5.44
300014,2022/6/1,80.5,86.53
300015,2022/6/1,37.11,36.6
300016,2022/6/1,7.26,7.26
300017,2022/6/1,5.06,5.11
300018,2022/6/1,5.54,5.59
300019,2022/6/1,17.63,17.92
300020,2022/6/1,6.99,7.05
300021,2022/6/1,5.5,5.52
300022,2022/6/1,5.2,5.18
300024,2022/6/1,8.1,8.25
300025,2022/6/1,4.05,4.08
300026,2022/6/1,5.6,5.51
300027,2022/6/1,2.66,2.71
300029,2022/6/1,6.98,6.82
300030,2022/6/1,6.99,6.95
300031,2022/6/1,15.25,14.99
300032,2022/6/1,5.73,5.55
300033,2022/6/1,85,84.36
300034,2022/6/1,38.16,37.56
300035,2022/6/1,25.08,25.89
300036,2022/6/1,18.08,18.04
300037,2022/6/1,40.2,40.53
300039,2022/6/1,6.06,6.23
300040,2022/6/1,6.85,7.05
300041,2022/6/1,13.46,13.34
300042,2022/6/1,12.31,12.37
300043,2022/6/1,2.85,2.85
300044,2022/6/1,3.47,3.6
300045,2022/6/1,7.55,7.62
300046,2022/6/1,18.21,18.98
300047,2022/6/1,6.56,6.71
300048,2022/6/1,5.95,6.8
300049,2022/6/1,12.98,13.03
300050,2022/6/1,3.83,3.81
300051,2022/6/1,5.68,5.62
300052,2022/6/1,17.73,18.52
300053,2022/6/1,8.04,8.11
300054,2022/6/1,18.97,19.08
300055,2022/6/1,8.66,8.65
300056,2022/6/1,5.35,5.42
300057,2022/6/1,8.2,8.27
300058,2022/6/1,6.23,6.16
300059,2022/6/1,22.62,22.74
300061,2022/6/1,7.8,7.77
300062,2022/6/1,10.18,10.56
300063,2022/6/1,3.99,3.97
300065,2022/6/1,12.01,12.45
300066,2022/6/1,4.74,4.9
300067,2022/6/1,3.43,3.45
300068,2022/6/1,12.8,12.98
300069,2022/6/1,18.78,18.99
300070,2022/6/1,4.86,4.85
300071,2022/6/1,3,3.09
300072,2022/6/1,4.7,4.72
300073,2022/6/1,69.3,70.49
300074,2022/6/1,3.58,3.6
300075,2022/6/1,16.31,16.12
300076,2022/6/1,4.56,4.59
300077,2022/6/1,15.51,15.65
300078,2022/6/1,4.88,4.95
300079,2022/6/1,4.98,5.17
300080,2022/6/1,4.59,4.77
300081,2022/6/1,8.7,8.56
300082,2022/6/1,10.3,10.41
300083,2022/6/1,10.31,10.27
300084,2022/6/1,4.6,4.62
300085,2022/6/1,9.43,9.37
300086,2022/6/1,6.33,6.3
300087,2022/6/1,17.77,17.55
300088,2022/6/1,6.91,6.78
300089,2022/6/1,3.2,3.22
300091,2022/6/1,3.95,3.96
300092,2022/6/1,9.48,9.46
300093,2022/6/1,33.01,32.8
300094,2022/6/1,5.26,5.23
300095,2022/6/1,11.43,11.17
300096,2022/6/1,6.31,6.3
300097,2022/6/1,5.2,5.33
300098,2022/6/1,3.25,3.29
300099,2022/6/1,6.8,6.8
300100,2022/6/1,8.5,8.69
300101,2022/6/1,17.81,17.8
300102,2022/6/1,6.8,6.78
300103,2022/6/1,8.09,8.1
300105,2022/6/1,5.68,5.73
300106,2022/6/1,9.63,9.61
300107,2022/6/1,5.39,5.38
300109,2022/6/1,13.7,13.72
300110,2022/6/1,3.61,3.63
300111,2022/6/1,2.96,2.95
300112,2022/6/1,8.98,8.98
300113,2022/6/1,10.44,10.49
300114,2022/6/1,11.3,11.44
300115,2022/6/1,10.2,9.77
300116,2022/6/1,1.91,1.94
300117,2022/6/1,3.58,3.55
300118,2022/6/1,26.09,26.1
300119,2022/6/1,16.62,16.57
300120,2022/6/1,6.68,6.74
300121,2022/6/1,10.19,10.48
300122,2022/6/1,87.05,86.82
300123,2022/6/1,5.68,5.78
300124,2022/6/1,60.99,61.25
300125,2022/6/1,15.36,15.15
300126,2022/6/1,5.66,5.66
300127,2022/6/1,16.74,16.83
300128,2022/6/1,3.17,3.17
300129,2022/6/1,7.35,7.45
300130,2022/6/1,13.3,13.52
300131,2022/6/1,4.79,4.84
300132,2022/6/1,6.02,6.11
300133,2022/6/1,4.48,4.53
300134,2022/6/1,7.49,7.47
300135,2022/6/1,2.57,2.55
300136,2022/6/1,15.66,15.57
300137,2022/6/1,5.82,5.79
300138,2022/6/1,16.13,16.02
300139,2022/6/1,8.28,8.41
300141,2022/6/1,8.67,8.89
300142,2022/6/1,46.54,47.17
300143,2022/6/1,8.7,8.76
300144,2022/6/1,12.89,12.65
300145,2022/6/1,2.71,2.7
300146,2022/6/1,19.85,19.82
300147,2022/6/1,5.48,5.47
300148,2022/6/1,3.27,3.28
300149,2022/6/1,10.5,10.54
300150,2022/6/1,3.97,3.96
300151,2022/6/1,16.72,17.15
300152,2022/6/1,3.28,3.35
300153,2022/6/1,7.73,8.08
300154,2022/6/1,5.59,5.63
300155,2022/6/1,5.25,5.26
300157,2022/6/1,4.13,4.07
300158,2022/6/1,6.53,6.48
300159,2022/6/1,2.26,2.17
300160,2022/6/1,7.6,7.68
300161,2022/6/1,18.99,19.05
300162,2022/6/1,6.7,6.89
300163,2022/6/1,3.33,3.32
300164,2022/6/1,4.89,4.92
300165,2022/6/1,5.32,5.36
300166,2022/6/1,8.72,8.76
300167,2022/6/1,4.81,4.74
300168,2022/6/1,8.82,8.88
300169,2022/6/1,4.55,4.59
300170,2022/6/1,8.48,8.94
300171,2022/6/1,33.6,32.99
300172,2022/6/1,4.64,4.64
300173,2022/6/1,4.61,4.77
300174,2022/6/1,14.71,14.64
300175,2022/6/1,4.17,4.12
300176,2022/6/1,4.94,5.04
300177,2022/6/1,7.34,7.47
300178,2022/6/1,0.31,0.28
300179,2022/6/1,11.59,11.67
300180,2022/6/1,3.72,3.73
300181,2022/6/1,8.13,8.21
300182,2022/6/1,5,5
